情感极性,博主,发布时间,博文
0,任平生日记,01月01日 20:09,【#武汉肺炎涉事市场周边药店口罩断货#】1月1日，湖北武汉#华南海鲜批发市场休市整治卫生#。@紧急呼叫 走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”@新京报我们视频 L紧急呼叫的秒拍视频 ?
0,旅行健康网,01月01日 20:13,【武汉市卫健委通报肺炎疫情：未发现明显人传人现象】?据31日中午武汉市卫健委关于肺炎疫情的情况通报，近期部分医疗机构发现接诊的多例肺炎病例与华南海鲜城有关联，武汉市卫健委接到报告后，立即在全市医疗卫生机构开展与华南海鲜城有关联的病例搜索和回顾性调查，目前已发现27例病例，其中7例病情 ?  展开全文c
0,沈阳日报,01月01日 20:14,【#武汉肺炎涉事市场周边药店口罩断货#】1月1日，湖北武汉华南海鲜批发市场休市整治卫生。@紧急呼叫?走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”L紧急呼叫的秒拍视频 ?
0,萧山日报,01月01日 20:17,【#武汉肺炎涉事市场周边药店口罩断货#】1月1日，湖北武汉#华南海鲜批发市场休市整治卫生#。@紧急呼叫 走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”#武汉肺炎事件# L紧急呼叫的秒拍视频  ?  展开全文c
0,黄冈周边事,01月01日 20:19,【武汉发现不明原因肺炎追踪：#华南海鲜批发市场休市整治卫生#】12月30日起，武汉市最大的海鲜批发市场华南海鲜批发市场陆续出现不明原因肺炎病人，根据当地卫健委最新披露，7人病情严重，绝大多数患者出自华南海鲜市场。2020年第一天，《每日经济新闻》记者现场采访了解到，海鲜市场从今日起休市整治 ?  展开全文c
0,苇城春秋,01月01日 20:24,武汉肺炎疫情追踪：华南海鲜市场休市整治?现场只有检疫人员进入L新京报动新闻的秒拍视频（#秒拍# O网页链接） ?
0,新浪湖北,01月01日 20:34,#湖北武汉发现不明原因肺炎#【#武汉肺炎涉事市场周边药店口罩断货#】1月1日，武汉华南海鲜批发市场休市整治卫生。@紧急呼叫?走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”#武汉爆料#  ?  展开全文c
0,CcMps55555,01月01日 20:43,转 // #看点快报# 《关于武汉肺炎疫情，你最关心的5个问题都有答案了！》 O网页链接 ?
0,新京报,01月01日 21:02,【#武汉肺炎涉事市场周边口罩断货#】1月1日，湖北武汉华南海鲜批发市场休市整治卫生。@新京报?走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”L紧急呼叫的秒拍视频 ?
0,裴哥谈医管,01月01日 21:21,【武汉肺炎疫情尚未发现人传人现象 医院专家提醒防控 - 健康界】 -专家提醒，病毒性肺炎可防可控。@健康界网站 O武汉肺炎疫情尚未发现人传人现象 医院专家提醒防控 ?
0,金华身边事,01月01日 21:37,【#武汉肺炎涉事市场周边药店口罩断货#】1月1日，湖北武汉#华南海鲜批发市场休市整治卫生#。@紧急呼叫 走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”#武汉肺炎事件# L紧急呼叫的秒拍视频  ?  展开全文c
0,武汉达人会,01月01日 21:39,【#武汉肺炎涉事市场周边药店口罩断货#】1月1日，武汉华南海鲜批发市场休市整治卫生。@紧急呼叫?走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”#武汉爆料# L紧急呼叫的秒拍视频 ?
0,湖北医家人,01月01日 21:46,#健康大武汉# 【#武汉肺炎涉事市场周边药店口罩断货#】1月1日，湖北武汉华南海鲜批发市场休市整治卫生。@紧急呼叫?走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”@每日医学资讯   ?  展开全文c
0,淘股吧官方微博,01月01日 21:55,【#武汉肺炎涉事市场周边口罩断货#】1月1日，湖北武汉华南海鲜批发市场休市整治卫生。走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”L紧急呼叫的秒拍视频 ???
0,二三里重庆,01月01日 22:00,【#武汉肺炎涉事市场周边口罩断货#】1月1日，湖北武汉华南海鲜批发市场休市整治卫生。@新京报?走访市场周边药房发现口罩及板蓝根销售火爆，其中部分店铺出现断货的情况，“整个汉口这边所有的店，都已经告急了，包括板蓝根。这些是才从其他店调过来的。”L紧急呼叫的秒拍视频 ???
-1,军长蜀黍,01月01日 22:23,【#8人因散布武汉肺炎疫情谣言被查处#】1月1日，湖北武汉公安通报称，#武汉肺炎事件#发生后，一些网民不经核实，在网上发布转发不实信息，目前8名散布谣言的违法人员已被查处。2019年12月31日，武汉市卫健委通报称，12月以来武汉发现病毒性肺炎病历27例，多例肺炎病例与华南海鲜城有关联。 ?  展开全文c
-1,新京报我们视频,01月01日 22:23,【8人因散布武汉肺炎谣言被查处】1月1日，湖北武汉公安通报称，#武汉肺炎事件#发生后，一些网民不经核实，在网上发布转发不实信息，目前8名散布谣言的违法人员已被查处。2019年12月31日，武汉市卫健委通报称，12月以来武汉发现病毒性肺炎病历27例，多例肺炎病例与华南海鲜城有关联。 ?  展开全文c
-1,江夏视点,01月01日 22:53,#武汉发现不明原因肺炎#【关于武汉肺炎疫情，8名散布谣言者被依法查处】刚刚，武汉市公安局官方微博发布消息称，关于当前武汉市肺炎疫情的情况，8名散布谣言者被依法查处。近期，我市部分医疗机构发现接诊了多例肺炎病例，市卫健委就此发布了情况通报。但一些网民在不经核实的情况下，在网络上发布、 ?  展开全文c
0,农夫山泉有点田资深老农,01月01日 22:54,《【武汉市卫健委关于肺炎疫情的情况通报：武汉肺炎未发现明显人传人现象，初步分析认为武汉》人民日报在百度动态发表了新动态，快来和ta互动吧O网页链接 ?
-1,楚天音乐广播,01月01日 22:55,【#8人因散布武汉肺炎疫情谣言被查处#】1月1日，湖北武汉公安通报称，#武汉肺炎事件#发生后，一些网民不经核实，在网上发布转发不实信息，目前8名散布谣言的违法人员已被查处。2019年12月31日，武汉市卫健委通报称，12月以来武汉发现病毒性肺炎病历27例，多例肺炎病例与华南海鲜城有关联。 ?  展开全文c
0,朱·居居大队长,01月02日 22:21,#武汉肺炎疫情患者被要求继续留院#中科院病毒所就在武汉，病毒国家重点实验室也在武汉，全球最大的疾控中心和疾控研究中心也在武汉。所以大家不要紧张，该吃吃该睡还睡。 ?
1,峰林海涛,01月02日 22:22,【#武汉肺炎疫情患者被要求继续留院治疗# 家属：此前病人恢复良好】1月2日，武汉华南海鲜市场肺炎疫情持续引发关注。在武汉医疗救治中心，一位患者家属对@新京报 称，患者经治疗恢复良好，但是30日晚上被通知继续留院治疗，“原本1号2号就可以出院”。该患者家属表示，目前无法探望。 ?  展开全文c
1,我是一只废瓜,01月02日 22:28,#武汉肺炎疫情患者被要求继续留院#全球最大的疾控中心和疾控研究中心就在武汉等结果出来 自己做好一下防护 不用太过惶恐 ?
0,能梦见你是我的过人之处_,01月02日 22:31,#武汉肺炎疫情患者被要求继续留院#等待官方发布消息，日常防护措施做好，别恐慌，也别轻视。大致就ok了。 ?
1,退休井,01月02日 22:31,#武汉肺炎疫情患者被要求继续留院#無論是什麼病毒都不要太恐慌，但也不要掉以輕心。預防疾病從自己做起，有空多搜搜預防措施，注意衛生，對自己還有身邊的人負責。 ?
0,四十女人不老,01月02日 22:32,我正在爱奇艺看武汉通报肺炎疫情 发现27例病例 其中7例病情严重 其余病情可控，快来@爱奇艺 一起看！ L武汉通报肺炎疫情 发现27例病例 其中7例病情严重 其余病情可控 ?
0,你若安好888888888,01月02日 22:32,#武汉肺炎疫情患者被要求继续留院#相信现在的医疗水平 ?
0,郭老师的猕,01月02日 22:33,#武汉肺炎疫情患者被要求继续留院#我发现日常生活上已经把这件事情淡化了 网络上却沸沸扬扬 ?
0,布道宽窄,01月02日 22:34,宽窄观察 有了2003年的教训和经验，但凡出现某种疫情，我们处理这种事情还是到位的。#武汉发现不明原因肺炎# ?
0,青_wuli峰,01月02日 22:36,#武汉肺炎疫情患者被要求继续留院#隔离观察很正常吧，跨年街上还是很多人啊，想说我们武汉人心大就说呗，反正只等官方通报，自己注意好个人卫生戴好口罩，有不舒服及时就医，提心吊胆有用么，生活还得继续不是？ ?
-1,用户6805104448,01月02日 22:38,#武汉肺炎疫情患者被要求继续留院#武汉中海尚城惊装修，房子到处漏水，一期比一期差！ ?
0,互联网互粉推广,01月02日 22:38,#武汉肺炎疫情患者被要求继续留院#支持建议留院，观察一下 ?
0,瀚海恒沙,01月02日 22:40,#武汉肺炎疫情患者被要求继续留院#  出门带个口罩吧，但也不必象当年某些低素质人群那样囤醋囤盐扰乱社会秩序。 ?
1,源味的甜甜圈,01月02日 22:43,#武汉肺炎疫情患者被要求继续留院#任何疫情，在没查明原因之前最好住院观察，所有人都应该全力配合。群众如果只会互相猜疑恐慌多生事端外没有任何好处。况且临近春运，这更应该好好控制~~ ?
-1,梦梦呼呼睡,01月02日 22:48,#武汉肺炎疫情患者被要求继续留院#不要引起不必要的恐慌吧 ?
1,王文胜水哥,01月02日 22:49,#武汉肺炎疫情患者被要求继续留院#先控制住疫情，观察一段时间之后再说，健康安全第一，别太急。 ?
-1,用户6695292128,01月02日 22:51,#武汉肺炎疫情患者被要求继续留院#晚安??吉祥所以，当一个人一生出来，实际上就是被判决了不定期的死刑，而且每一年、每一天、每一刻，你一不留神，你的命也许就没有了。所以，“朝闻道，夕死可矣。”就是说，要懂得在这个世界上好好地珍惜自己的生命，你连命都没有了，你还能够有什么？所以，希望 ?  展开全文c
0,IT数码君,01月02日 22:54,#武汉肺炎疫情患者被要求继续留院#实事求是就好， ?
1,银河制造商,01月02日 22:56,#武汉肺炎疫情患者被要求继续留院#病毒确定种属类型也需要时间 现阶段做好隔离防护最重要 ?
0,清风入梦曦,01月02日 22:58,#武汉肺炎疫情患者被要求继续留院# 病毒确定种属类型也需要时间 现阶段做好隔离防护最重要 ???#父母吵架拉扯失手致4岁孩子坠亡# 首先吵架就不应该在孩子面前 ?
0,映象网,01月03日 22:46,【武汉卫健委：#武汉发现不明原因病毒性肺炎重症11例#】3日，#武汉卫健委通报不明原因肺炎#：2019年12月以来，我委开展呼吸道疾病及相关疾病监测，发现不明原因的病毒性肺炎病例，病例临床表现主要为发热，少数病人呼吸困难，胸片呈双肺浸润性病灶。截至2020年1月3日8时，共发现符合不明原因的病毒性肺 ?  展开全文c
